cfgid,usemsk,interp,pyramid,optim,cgtype,sim,bins,levels,iters,steps,step,epsilon,alpha,A,a,ds,be
0001,true,Linear,Recursive,ConjugateGradient,PolakRibiere,NormalizedMutualInformation,64,4,100,20,4.0 2.0 1.0 0.5,1e-05,0.6,20,1000,2.5,0
0002,true,Linear,Recursive,ConjugateGradient,PolakRibiere,NormalizedMutualInformation,64,4,100,20,4.0 2.0 1.0 0.5,1e-05,0.6,20,1000,2.5,0.0001
0003,true,Linear,Recursive,ConjugateGradient,PolakRibiere,NormalizedMutualInformation,64,4,100,20,4.0 2.0 1.0 0.5,1e-05,0.6,20,1000,2.5,0.0005
0004,true,Linear,Recursive,ConjugateGradient,PolakRibiere,NormalizedMutualInformation,64,4,100,20,4.0 2.0 1.0 0.5,1e-05,0.6,20,1000,2.5,0.001
0005,true,Linear,Recursive,ConjugateGradient,PolakRibiere,NormalizedMutualInformation,64,4,100,20,4.0 2.0 1.0 0.5,1e-05,0.6,20,1000,2.5,0.005
0006,true,Linear,Recursive,ConjugateGradient,PolakRibiere,NormalizedMutualInformation,64,4,100,20,4.0 2.0 1.0 0.5,1e-05,0.6,20,1000,2.5,0.01
0007,true,Linear,Recursive,ConjugateGradient,PolakRibiere,NormalizedMutualInformation,64,4,100,20,4.0 2.0 1.0 0.5,1e-05,0.6,20,1000,2.5,0.05
0008,true,Linear,Recursive,ConjugateGradient,PolakRibiere,NormalizedMutualInformation,64,4,100,20,4.0 2.0 1.0 0.5,1e-05,0.6,20,1000,2.5,0.1
0009,true,Linear,Recursive,ConjugateGradient,PolakRibiere,NormalizedMutualInformation,64,4,100,20,4.0 2.0 1.0 0.5,1e-05,0.6,20,1000,2.5,0.2
0010,true,Linear,Recursive,ConjugateGradient,PolakRibiere,NormalizedMutualInformation,64,4,100,20,4.0 2.0 1.0 0.5,1e-05,0.6,20,1000,2.5,0.5
0011,true,Linear,Recursive,ConjugateGradient,PolakRibiere,NormalizedMutualInformation,64,4,100,20,4.0 2.0 1.0 0.5,1e-05,0.6,20,1000,5.0,0
0012,true,Linear,Recursive,ConjugateGradient,PolakRibiere,NormalizedMutualInformation,64,4,100,20,4.0 2.0 1.0 0.5,1e-05,0.6,20,1000,5.0,0.0001
0013,true,Linear,Recursive,ConjugateGradient,PolakRibiere,NormalizedMutualInformation,64,4,100,20,4.0 2.0 1.0 0.5,1e-05,0.6,20,1000,5.0,0.0005
0014,true,Linear,Recursive,ConjugateGradient,PolakRibiere,NormalizedMutualInformation,64,4,100,20,4.0 2.0 1.0 0.5,1e-05,0.6,20,1000,5.0,0.001
0015,true,Linear,Recursive,ConjugateGradient,PolakRibiere,NormalizedMutualInformation,64,4,100,20,4.0 2.0 1.0 0.5,1e-05,0.6,20,1000,5.0,0.005
0016,true,Linear,Recursive,ConjugateGradient,PolakRibiere,NormalizedMutualInformation,64,4,100,20,4.0 2.0 1.0 0.5,1e-05,0.6,20,1000,5.0,0.01
0017,true,Linear,Recursive,ConjugateGradient,PolakRibiere,NormalizedMutualInformation,64,4,100,20,4.0 2.0 1.0 0.5,1e-05,0.6,20,1000,5.0,0.05
0018,true,Linear,Recursive,ConjugateGradient,PolakRibiere,NormalizedMutualInformation,64,4,100,20,4.0 2.0 1.0 0.5,1e-05,0.6,20,1000,5.0,0.1
0019,true,Linear,Recursive,ConjugateGradient,PolakRibiere,NormalizedMutualInformation,64,4,100,20,4.0 2.0 1.0 0.5,1e-05,0.6,20,1000,5.0,0.2
0020,true,Linear,Recursive,ConjugateGradient,PolakRibiere,NormalizedMutualInformation,64,4,100,20,4.0 2.0 1.0 0.5,1e-05,0.6,20,1000,5.0,0.5
