cfgid,interp,optim,levels,iters,steps,step,epsilon,sim,bins,ds,be,tp,vp
0001,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0,0,0
0002,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0,0.0001,0
0003,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0,0.001,0
0004,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0,0.005,0
0005,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0,0.01,0
0006,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0,0.05,0
0008,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0,0,0.0001
0009,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0,0,0.001
0010,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0,0,0.005
0011,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0,0,0.01
0012,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0,0,0.05
0013,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.00001,0,0
0014,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.00001,0.0001,0
0015,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.00001,0.001,0
0016,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.00001,0.005,0
0017,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.00001,0.01,0
0018,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.00001,0.05,0
0020,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.00001,0,0.0001
0021,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.00001,0,0.001
0022,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.00001,0,0.005
0023,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.00001,0,0.01
0024,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.00001,0,0.05
0025,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.00005,0,0
0026,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.00005,0.0001,0
0027,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.00005,0.001,0
0028,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.00005,0.005,0
0029,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.00005,0.01,0
0030,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.00005,0.05,0
0032,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.00005,0,0.0001
0033,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.00005,0,0.001
0034,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.00005,0,0.005
0035,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.00005,0,0.01
0036,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.00005,0,0.05
0037,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.0001,0,0
0038,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.0001,0.0001,0
0039,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.0001,0.001,0
0040,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.0001,0.005,0
0041,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.0001,0.01,0
0042,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.0001,0.05,0
0044,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.0001,0,0.0001
0045,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.0001,0,0.001
0046,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.0001,0,0.005
0047,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.0001,0,0.01
0048,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.0001,0,0.05
0049,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.0005,0,0
0050,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.0005,0.0001,0
0051,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.0005,0.001,0
0052,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.0005,0.005,0
0053,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.0005,0.01,0
0054,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.0005,0.05,0
0056,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.0005,0,0.0001
0057,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.0005,0,0.001
0058,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.0005,0,0.005
0059,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.0005,0,0.01
0060,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.0005,0,0.05
0061,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.001,0,0
0062,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.001,0.0001,0
0063,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.001,0.001,0
0064,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.001,0.005,0
0065,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.001,0.01,0
0066,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.001,0.05,0
0068,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.001,0,0.0001
0069,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.001,0,0.001
0070,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.001,0,0.005
0071,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.001,0,0.01
0072,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.001,0,0.05
0073,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.005,0,0
0074,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.005,0.0001,0
0075,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.005,0.001,0
0076,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.005,0.005,0
0077,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.005,0.01,0
0078,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.005,0.05,0
0080,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.005,0,0.0001
0081,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.005,0,0.001
0082,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.005,0,0.005
0083,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.005,0,0.01
0084,Linear,GradientDescent,4,10,4,1,0.0001,NMI,64,20,0.005,0,0.05
0085,Linear,ConjugateGradientDescent,4,20,4,1,0.0001,NMI,64,20,0,0,0
0086,Linear,ConjugateGradientDescent,4,20,4,1,0.0001,NMI,64,20,0.00001,0,0
0087,Linear,ConjugateGradientDescent,4,20,4,1,0.0001,NMI,64,20,0.0001,0,0
0088,Linear,ConjugateGradientDescent,4,20,4,1,0.0001,NMI,64,20,0.001,0,0
