cfgid,sim,bins,levels,maxit,ds,be,jl,le,l2
0001,NMI,64,3,300,2.5,0,0,0 0,0
0002,NMI,64,3,300,2.5,0,0.00001,0 0,0
0003,NMI,64,3,300,2.5,0,0.0001,0 0,0
0004,NMI,64,3,300,2.5,0,0.0005,0 0,0
0005,NMI,64,3,300,2.5,0,0.001,0 0,0
0006,NMI,64,3,300,2.5,0,0.005,0 0,0
0007,NMI,64,3,300,2.5,0,0.01,0 0,0
0008,NMI,64,3,300,2.5,0,0.05,0 0,0
0009,NMI,64,3,300,2.5,0.0001,0,0 0,0
0010,NMI,64,3,300,2.5,0.0001,0.00001,0 0,0
0011,NMI,64,3,300,2.5,0.0001,0.0001,0 0,0
0012,NMI,64,3,300,2.5,0.0001,0.0005,0 0,0
0013,NMI,64,3,300,2.5,0.0001,0.001,0 0,0
0014,NMI,64,3,300,2.5,0.0001,0.005,0 0,0
0015,NMI,64,3,300,2.5,0.0001,0.01,0 0,0
0016,NMI,64,3,300,2.5,0.0001,0.05,0 0,0
0017,NMI,64,3,300,2.5,0.0005,0,0 0,0
0018,NMI,64,3,300,2.5,0.0005,0.00001,0 0,0
0019,NMI,64,3,300,2.5,0.0005,0.0001,0 0,0
0020,NMI,64,3,300,2.5,0.0005,0.0005,0 0,0
0021,NMI,64,3,300,2.5,0.0005,0.001,0 0,0
0022,NMI,64,3,300,2.5,0.0005,0.005,0 0,0
0023,NMI,64,3,300,2.5,0.0005,0.01,0 0,0
0024,NMI,64,3,300,2.5,0.0005,0.05,0 0,0
0025,NMI,64,3,300,2.5,0.001,0,0 0,0
0026,NMI,64,3,300,2.5,0.001,0.00001,0 0,0
0027,NMI,64,3,300,2.5,0.001,0.0001,0 0,0
0028,NMI,64,3,300,2.5,0.001,0.0005,0 0,0
0029,NMI,64,3,300,2.5,0.001,0.001,0 0,0
0030,NMI,64,3,300,2.5,0.001,0.005,0 0,0
0031,NMI,64,3,300,2.5,0.001,0.01,0 0,0
0032,NMI,64,3,300,2.5,0.001,0.05,0 0,0
0033,NMI,64,3,300,2.5,0.005,0,0 0,0
0034,NMI,64,3,300,2.5,0.005,0.00001,0 0,0
0035,NMI,64,3,300,2.5,0.005,0.0001,0 0,0
0036,NMI,64,3,300,2.5,0.005,0.0005,0 0,0
0037,NMI,64,3,300,2.5,0.005,0.001,0 0,0
0038,NMI,64,3,300,2.5,0.005,0.005,0 0,0
0039,NMI,64,3,300,2.5,0.005,0.01,0 0,0
0040,NMI,64,3,300,2.5,0.005,0.05,0 0,0
0041,NMI,64,3,300,2.5,0.01,0,0 0,0
0042,NMI,64,3,300,2.5,0.01,0.00001,0 0,0
0043,NMI,64,3,300,2.5,0.01,0.0001,0 0,0
0044,NMI,64,3,300,2.5,0.01,0.0005,0 0,0
0045,NMI,64,3,300,2.5,0.01,0.001,0 0,0
0046,NMI,64,3,300,2.5,0.01,0.005,0 0,0
0047,NMI,64,3,300,2.5,0.01,0.01,0 0,0
0048,NMI,64,3,300,2.5,0.01,0.05,0 0,0
0049,NMI,64,3,300,2.5,0.05,0,0 0,0
0050,NMI,64,3,300,2.5,0.05,0.00001,0 0,0
0051,NMI,64,3,300,2.5,0.05,0.0001,0 0,0
0052,NMI,64,3,300,2.5,0.05,0.0005,0 0,0
0053,NMI,64,3,300,2.5,0.05,0.001,0 0,0
0054,NMI,64,3,300,2.5,0.05,0.005,0 0,0
0055,NMI,64,3,300,2.5,0.05,0.01,0 0,0
0056,NMI,64,3,300,2.5,0.05,0.05,0 0,0
0057,NMI,64,3,300,2.5,0,0,0 0.0001,0
0058,NMI,64,3,300,2.5,0,0,0 0.001,0
0059,NMI,64,3,300,2.5,0,0,0 0.01,0
0060,NMI,64,3,300,2.5,0,0,0 0.1,0
0061,NMI,64,3,300,2.5,0,0,0.0001 0,0
0062,NMI,64,3,300,2.5,0,0,0.0001 0.0001,0
0063,NMI,64,3,300,2.5,0,0,0.0001 0.001,0
0064,NMI,64,3,300,2.5,0,0,0.0001 0.01,0
0065,NMI,64,3,300,2.5,0,0,0.0001 0.1,0
0066,NMI,64,3,300,2.5,0,0,0.001 0,0
0067,NMI,64,3,300,2.5,0,0,0.001 0.0001,0
0068,NMI,64,3,300,2.5,0,0,0.001 0.001,0
0069,NMI,64,3,300,2.5,0,0,0.001 0.01,0
0070,NMI,64,3,300,2.5,0,0,0.001 0.1,0
0071,NMI,64,3,300,2.5,0,0,0.01 0,0
0072,NMI,64,3,300,2.5,0,0,0.01 0.0001,0
0073,NMI,64,3,300,2.5,0,0,0.01 0.001,0
0074,NMI,64,3,300,2.5,0,0,0.01 0.01,0
0075,NMI,64,3,300,2.5,0,0,0.01 0.1,0
0076,NMI,64,3,300,2.5,0,0,0.1 0,0
0077,NMI,64,3,300,2.5,0,0,0.1 0.0001,0
0078,NMI,64,3,300,2.5,0,0,0.1 0.001,0
0079,NMI,64,3,300,2.5,0,0,0.1 0.01,0
0080,NMI,64,3,300,2.5,0,0,0.1 0.1,0
